"Schl.Nr.","Name der Regionaleinheit","Stimmberechtigte",Wähler,"Wahlbeteiligung in %",CSU,,SPD,,FREIE WÄHLER,,GRÜNE,,FDP,,Sonstige,
100,Landeshauptstadt München,909641,570275,"62,7",412982,"36,7",361663,"32,1",51551,"4,6",136253,"12,1",62802,"5,6",100475,"8,9"
101,München-Hadern,105194,65847,"62,6",48606,"37,4",42683,"32,9",5504,"4,2",14734,"11,3",6113,"4,7",12226,"9,4"
102,München-Bogenhausen,118543,75665,"63,8",53742,"36,0",46429,"31,1",6162,"4,1",19972,"13,4",9991,"6,7",12919,"8,7"
103,München-Giesing,130619,82765,"63,4",56019,"34,3",51976,"31,8",9508,"5,8",22056,"13,5",8997,"5,5",14922,"9,1"
104,München-Milbertshofen,127892,77881,"60,9",49021,"31,9",54965,"35,7",6235,"4,1",20542,"13,4",8581,"5,6",14515,"9,4"
105,München-Moosach,98696,59067,"59,8",46502,"39,9",38089,"32,7",5220,"4,5",10354,"8,9",5374,"4,6",11003,"9,4"
106,München-Pasing,108620,71748,"66,1",59499,"42,0",41320,"29,2",6709,"4,7",15085,"10,7",6641,"4,7",12263,"8,7"
107,München-Ramersdorf,102876,63300,"61,5",53148,"42,6",38578,"30,9",6260,"5,0",10370,"8,3",5509,"4,4",11003,"8,8"
108,München-Schwabing,117201,74002,"63,1",46445,"31,7",47623,"32,5",5953,"4,1",23140,"15,8",11596,"7,9",11624,"7,9"
109,Altötting,82685,51279,"62,0",55368,"55,0",20543,"20,4",7171,"7,1",5424,"5,4",2010,"2,0",10098,"10,0"
110,"Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen",124901,82627,"66,2",88552,"54,6",24509,"15,1",16559,"10,2",10930,"6,7",5286,"3,3",16464,"10,1"
111,Berchtesgadener Land,93976,58766,"62,5",63426,"55,0",16038,"13,9",10909,"9,5",11906,"10,3",2269,"2,0",10674,"9,3"
112,Dachau,101502,70310,"69,3",69840,"50,4",31168,"22,5",11523,"8,3",8309,"6,0",3146,"2,3",14642,"10,6"
113,Ebersberg,96011,68034,"70,9",64178,"47,8",29460,"21,9",9095,"6,8",13638,"10,2",5653,"4,2",12212,"9,1"
114,Eichstätt,95753,67014,"70,0",75705,"57,4",23249,"17,6",12056,"9,1",5931,"4,5",2285,"1,7",12734,"9,6"
115,Erding,95688,65399,"68,3",65948,"51,2",18777,"14,6",12289,"9,5",11453,"8,9",3115,"2,4",17209,"13,4"
116,Freising,118867,80234,"67,5",65973,"41,7",23151,"14,6",20740,"13,1",29801,"18,8",3974,"2,5",14570,"9,2"
