regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.Nr.1),G2),Gesamtstimmen,darunterZweitstimmen,101MünchenHadern,102MünchenBogenhausen,103MünchenGiesing,104MünchenMilbertshofen,105MünchenMoosach,106MünchenPasing,107MünchenRamersdorf,108MünchenSchwabing,109Altötting,"110Bad TölzWolfratshausen,GarmischPartenkirchen",111BerchtesgadenerLand,112Dachau,113Ebersberg,114Eichstätt,115Erding,116Freising,117FürstenfeldbruckOst,"118Ingolstadt,Neuburga.d.Donau","119Landsbergam Lech,FürstenfeldbruckWest",120Miesbach,121Mühldorf a.Inn,122MünchenLandNord,123MünchenLandSüd,124NeuburgSchrobenhausen,125Pfaffenhofen a.d.Ilm,126RosenheimOst,127RosenheimWest,128Starnberg,129Traunstein,130WeilheimSchongau
901,1,CSU,1,"Seehofer, Horst",1,S,701318,669629,17289,18497,19737,16632,16893,20613,18448,15711,19556,30793,23913,25995,22874,30698,22688,25112,27058,21943,27296,25763,19502,27384,26943,31689*,21117,24489,23201,21987,28306,29191
901,1,CSU,2,"Aigner, Ilse",2,S,138814,105386,2248,2717,2722,2335,1839,3059,2466,2498,1819,8033,2837,2559,3942,1469,2649,2771,3727,1024,3002,33428*,2249,3776,5370,8795,1302,7901,9831,5436,3487,3523
901,1,CSU,3,"Spaenle, Dr. Ludwig",18,S,32628,9494,513,737,653,901,532,689,584,23134*,84,253,124,214,207,83,145,221,334,59,206,272,91,452,585,542,66,186,143,258,175,185
901,1,CSU,4,"Haderthauer, Christine",3,S,45346,22940,372,442,487,493,361,475,415,477,449,585,373,684,459,1867,401,592,620,22406*,554,688,299,623,678,7233,911,470,389,533,448,562
901,1,CSU,5,"Huber, Dr. Marcel",7,S,41364,8687,144,224,166,188,170,226,160,271,1617,276,317,174,518,77,496,210,209,46,215,253,32677*,243,266,314,81,390,540,193,486,217
901,1,CSU,6,"Bocklet, Reinhold",10,S,38921,2361,49,65,49,56,51,238,44,88,15,70,27,166,56,17,33,35,36560*,19,605,61,18,61,97,71,20,37,36,92,22,163
901,1,CSU,7,"Wittmann, Mechthilde",21,L,31333,6468,393,368,353,24865*,942,603,393,664,55,122,86,158,121,33,87,135,235,38,125,106,59,421,296,102,38,101,70,169,82,113
901,1,CSU,8,"Huber, Dr. Martin",33,L,11761,11761,42,50,45,65,37,41,37,108,4816,65,108,57,102,31,45,48,62,35,43,41,5303,53,71,47,19,89,83,51,118,49
901,1,CSU,9,"Kreitmair, Anton",32,L,11880,11880,80,81,98,81,87,134,85,95,159,345,186,4643,344,192,428,417,643,42,477,332,292,280,210,519,189,238,199,294,215,495
901,1,CSU,10,"Eisenreich, Georg",27,S,28245,3844,24401*,177,881,227,232,423,153,271,28,113,29,64,74,12,40,60,129,15,69,53,32,149,269,41,18,45,50,121,29,40
901,1,CSU,11,"Mandoki, Leslie",39,,7139,7139,230,278,285,285,202,268,221,259,60,279,99,165,232,87,135,193,303,82,334,217,97,275,383,127,64,179,133,1027,110,530
901,1,CSU,12,"Reiter, Martin",41,,4043,4043,76,79,80,82,63,109,84,74,22,65,41,107,50,36,71,2183,88,33,63,48,28,110,83,64,76,44,37,54,47,46
901,1,CSU,13,"Goppel, Dr. Thomas",31,L,17653,17653,443,459,502,435,301,495,347,460,92,408,210,297,331,99,159,262,2032,75,6434,419,165,457,675,214,97,239,195,644,181,526
901,1,CSU,14,"Heckner, Ingrid",28,S,27975,2909,99,80,107,107,79,134,75,86,25066*,80,176,72,89,82,71,89,104,34,96,54,262,131,138,81,50,93,67,65,217,91
901,1,CSU,15,"Schreder, Thomas",36,,8922,8922,88,96,74,88,85,99,91,75,80,91,93,75,896,53,4954,383,109,42,98,92,144,240,158,65,52,150,165,90,84,112
