regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.Nr.1),G2),Gesamtstimmen,darunterZweitstimmen,201Deggendorf,202Dingolfing,203Kelheim,204Landshut,205PassauOst,206PassauWest,"207Regen,FreyungGrafenau",208RottalInn,209Straubing
902,1,CSU,1,"Brunner, Helmut",1,S,103145,73690,13515,11118,8196,9452,7979,6133,29455*,9747,7550
902,1,CSU,2,"Gibis, Max",11,L,22388,22388,1835,234,211,309,2946,363,16069,255,166
902,1,CSU,3,"Sem, Reserl",3,S,45571,13862,1764,3086,1092,1554,1309,2371,1813,31709*,873
902,1,CSU,4,"Sibler, Bernd",5,S,40959,12336,28623*,2629,405,614,616,871,4628,1119,1454
902,1,CSU,5,"Hölzl, Florian",12,,19768,19768,276,3316,2586,12535,150,114,185,335,271
902,1,CSU,6,"Ritt, Hans",10,L,29441,29441,913,1496,624,622,231,210,692,471,24182
902,1,CSU,7,"Koller, Hans",13,,19474,19474,351,466,276,333,12456,4354,573,450,215
902,1,CSU,8,"Högl, Petra Therese",14,,11840,11840,402,1100,6674,1424,286,353,379,852,370
902,1,CSU,9,"Stapfer, Adolf",15,,9673,9673,125,207,153,243,98,315,84,8361,87
902,1,CSU,10,"Hötzinger, Irmgard",17,,5043,5043,3026,261,164,251,161,676,125,250,129
902,1,CSU,11,"Hausberger, Luise",16,,5671,5671,124,2813,210,1261,148,327,115,487,186
902,1,CSU,12,"Maier, Christoph",18,,4176,4176,137,245,115,258,244,1932,105,1019,121
902,1,CSU,13,"Huber, Erwin",2,S,50015,17361,2154,32654*,1389,4021,1104,1100,1782,4136,1675
902,1,CSU,14,"Neumeyer, Martin",9,S,29917,1035,62,189,28882*,366,72,63,59,82,142
902,1,CSU,15,"Radlmeier, Helmut",7,S,38063,5699,136,3872,1050,32364*,79,61,90,236,175
902,1,CSU,16,"Taubeneder, Walter",8,S,33034,4537,169,52,29,39,3602,28497*,85,532,29
902,1,CSU,17,"Waschler, Dr. Gerhard",4,S,42182,11397,555,291,216,354,30785*,8214,1018,533,216
902,1,CSU,18,"Zellmeier, Josef",6,S,39447,2526,142,614,586,859,34,87,124,80,36921*
902,1,CSU,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,2414,2414,222,269,320,329,205,210,207,443,209
902,1,CSU,,Erststimmen insgesamt,,,279890,,28623,32654,28882,32364,30785,28497,29455,31709,36921
902,1,CSU,,Zweitstimmen insgesamt,,,272331,272331,25908,32258,24296,34824,31720,27754,28133,29388,38050
902,1,CSU,,Gesamtstimmen,,,552221,272331,54531,64912,53178,67188,62505,56251,57588,61097,74971
902,2,SPD,1,"WernerMuggendorfer, Johanna",2,L,25955,16207,1652,1533,9748*,3674,2138,1157,1906,1610,2537
902,2,SPD,2,"Roos, Bernhard",1,L,26326,13744,1407,384,1682,573,12582*,4799,2871,1246,782
902,2,SPD,3,"Müller, Ruth",3,L,12843,2360,140,660,718,10483*,221,84,131,160,246
902,2,SPD,4,"Stranninger, Peter",5,,11072,1983,373,233,122,328,193,88,471,175,9089*
902,2,SPD,5,"Winter, Marion C.",8,,8146,2030,236,475,136,362,213,252,149,6116*,207
902,2,SPD,6,"Vilsmeier, Dr. med. vet. Bernd",4,,12477,2791,268,9686*,274,717,344,159,219,435,375
902,2,SPD,7,"Sommer, Robert",7,,9847,1072,270,70,61,97,164,54,8775*,70,286
902,2,SPD,8,"Winterer, Andreas",6,,10562,2196,146,115,73,225,1151,8366*,103,249,134
902,2,SPD,9,"Straßer, Ewald",9,,7714,1028,6686*,48,34,77,124,101,421,61,162
902,2,SPD,10,"Dull, Manuel",15,,2193,2193,1014,122,107,241,135,79,162,86,247
902,2,SPD,11,"Plach, Christian",16,,1979,1979,49,57,35,83,201,1196,68,223,67
902,2,SPD,12,"Blöhm, Bettina",14,,2364,2364,164,103,77,173,549,176,855,113,154
902,2,SPD,13,"Egleder, Udo",10,,6935,6935,117,5524,55,480,52,43,81,236,347
902,2,SPD,14,"Frankenberger, Thorsten",17,,1513,1513,39,38,46,54,112,123,47,986,68
902,2,SPD,15,"Kreutz, Martin",18,,1292,1292,22,48,67,187,39,15,19,23,872
902,2,SPD,16,"Hutzenthaler, Sebastian",13,,2670,2670,24,280,41,2131,43,17,24,24,86
902,2,SPD,17,"Hügle, Hannes",12,,3170,3170,59,23,17,38,2623,209,121,35,45
902,2,SPD,18,"Schug, Thomas",11,,5139,5139,50,50,4609,131,48,27,53,51,120
902,2,SPD,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,858,858,73,64,102,134,106,64,90,134,91
902,2,SPD,,Erststimmen insgesamt,,,81531,,6686,9686,9748,10483,12582,8366,8775,6116,9089
902,2,SPD,,Zweitstimmen insgesamt,,,71524,71524,6103,9827,8256,9705,8456,8643,7791,5917,6826
902,2,SPD,,Gesamtstimmen,,,153055,71524,12789,19513,18004,20188,21038,17009,16566,12033,15915
902,3,Freie Wähler,1,"Aiwanger, Hubert",1,L,57676,42143,4946,7934,6763,15533*,2814,3587,5195,4175,6729
902,3,Freie Wähler,2,"Widmann, Jutta",2,L,24029,14000,129,10029*,246,12271,89,244,146,648,227
902,3,Freie Wähler,3,"Muthmann, Alexander",3,L,19703,7955,324,104,27,217,6315,583,11748*,65,320
902,3,Freie Wähler,4,"Waas, Ludwig",4,,11175,1734,1107,135,81,140,35,44,150,42,9441*
902,3,Freie Wähler,5,"Meiski, Dr. Georg",5,,7612,1497,6115*,177,45,154,82,110,653,58,218
902,3,Freie Wähler,6,"Hillebrand, Harald",8,,5118,398,28,60,4720*,172,30,21,26,23,38
902,3,Freie Wähler,7,"Lindinger, Christian",7,,5440,763,64,101,42,120,154,4677*,49,180,53
902,3,Freie Wähler,8,"Grünberger, Hans Christian",6,,6411,476,35,26,22,60,5935*,109,183,22,19
902,3,Freie Wähler,9,"Scheibelberger, Diana",11,,2366,2366,50,100,31,65,225,39,1796,27,33
902,3,Freie Wähler,10,"Maier, Werner",13,,2049,2049,41,90,1510,238,23,54,28,24,41
902,3,Freie Wähler,11,"Jakob, Daniel",14,,1518,1518,1138,89,19,40,18,36,59,31,88
902,3,Freie Wähler,12,"Gibis, Walter",15,,1379,1379,196,50,33,53,155,742,64,62,24
902,3,Freie Wähler,13,"Ebner, Dr. Hermann",10,,2907,2907,164,212,81,124,44,62,128,73,2019
902,3,Freie Wähler,14,"Wenninger, Richard",12,,2321,2321,170,1706,35,115,28,36,34,59,138
902,3,Freie Wähler,15,"Maier, Erwin",18,,758,758,41,397,11,248,4,14,10,13,20
902,3,Freie Wähler,16,"Beck, Tobias",16,,1003,1003,25,37,43,254,12,3,12,6,611
902,3,Freie Wähler,17,"Lechner, Werner",17,,975,975,6,7,8,11,3,23,15,894,8
902,3,Freie Wähler,18,"Hirmer, Jakob",9,,4707,262,23,35,21,34,19,100,12,4445*,18
902,3,Freie Wähler,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,477,477,44,47,58,59,23,67,62,86,31
902,3,Freie Wähler,,Erststimmen insgesamt,,,72643,,6115,10029,4720,15533,5935,4677,11748,4445,9441
902,3,Freie Wähler,,Zweitstimmen insgesamt,,,84981,84981,8531,11307,9076,14375,10073,5874,8622,6488,10635
902,3,Freie Wähler,,Gesamtstimmen,,,157624,84981,14646,21336,13796,29908,16008,10551,20370,10933,20076
902,4,Grüne,1,"Steinberger, Rosi",1,L,12458,5430,466,1602,646,7028*,530,553,337,653,643
902,4,Grüne,2,"Hallitzky, Eike",2,,10453,6771,521,165,115,1312,3160,3682*,787,461,250
902,4,Grüne,3,"Lüttwitz, Sophia",3,,5993,2722,248,369,270,688,322,410,135,3271*,280
902,4,Grüne,4,"Müller, Thomas",8,,2740,2740,212,114,89,248,123,124,1568,116,146
902,4,Grüne,5,"Hagl, Sigi",4,,4744,4744,50,390,99,3854,59,46,32,123,91
902,4,Grüne,6,"Ernst, Matthias",10,,2566,783,103,110,69,191,77,64,62,107,1783*
902,4,Grüne,7,"LettowBerger, Christiane",9,,2618,2618,29,37,2282,92,46,29,18,46,39
902,4,Grüne,8,"Synek, Karl",5,,4608,600,23,5,8,24,4008*,453,33,38,16
902,4,Grüne,9,"Karl, Anita",13,,1490,1490,111,87,66,123,70,62,78,92,801
902,4,Grüne,10,"Sandmeyer, Günther",6,,3575,141,4,3434*,5,92,3,7,7,18,5
902,4,Grüne,11,"Reiser, Günther",14,,1137,1137,5,19,3,11,6,13,3,1070,7
902,4,Grüne,12,"Rosner, Josef",11,,2547,203,2344*,36,10,30,24,37,13,36,17
902,4,Grüne,13,"Zieglmeier, Richard",7,,3549,701,46,85,2848*,227,68,55,39,99,82
902,4,Grüne,14,"MadlDeinhart, Hans",18,,462,462,24,7,2,11,186,31,184,17,
902,4,Grüne,15,"Anneser, Franz",15,,1042,1042,39,764,25,96,25,14,13,21,45
902,4,Grüne,16,"Bergs, WolfGünther",17,,739,739,521,25,13,15,19,18,79,15,34
902,4,Grüne,17,"Kreideweiß, Dr. Thomas",16,,1006,1006,106,38,23,24,93,636,20,43,23
902,4,Grüne,18,"Salomon, Stefan",12,,2191,265,23,34,24,49,37,14,1926*,31,53
902,4,Grüne,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,288,288,23,34,34,50,30,23,16,53,25
902,4,Grüne,,Erststimmen insgesamt,,,30324,,2344,3434,2848,7028,4008,3682,1926,3271,1783
902,4,Grüne,,Zweitstimmen insgesamt,,,33882,33882,2554,3921,3783,7137,4878,2589,3424,3039,2557
902,4,Grüne,,Gesamtstimmen,,,64206,33882,4898,7355,6631,14165,8886,6271,5350,6310,4340
902,5,FDP,1,"Fischer, Dr. Andreas",3,,5300,3649,338,490,1651*,957,426,345,260,361,472
902,5,FDP,2,"Gumppenberg Freiherr von, Dietrich",2,,5417,2186,178,584,477,3231*,127,104,94,171,451
902,5,FDP,3,"Drexler, Gerhard",6,,2608,904,77,43,40,107,493,77,1704*,25,42
902,5,FDP,4,"Knaus, Evi",7,,2478,1135,1343*,190,83,226,111,101,104,128,192
902,5,FDP,5,"Dittlmann, Andreas",4,,3800,702,27,13,9,24,3098*,506,69,39,15
902,5,FDP,6,"Schmid, Josefa",1,,6014,4052,507,106,32,109,163,140,2891,104,1962*
902,5,FDP,7,"Neulinger, Christian",8,,1792,260,27,20,14,45,61,1532*,14,57,22
902,5,FDP,8,"Egerer, Franz",5,,3338,241,31,3097*,8,48,13,18,11,20,92
902,5,FDP,9,"Gasslbauer, Walter",9,,1667,82,5,25,5,18,6,4,15,1585*,4
902,5,FDP,10,"Haidl, Johann",12,,745,745,25,15,16,37,469,97,45,24,17
902,5,FDP,11,"Werner, Sven",16,,448,448,25,21,22,29,24,260,18,29,20
902,5,FDP,12,"Heuwieser, Dominik",17,,447,447,6,17,11,14,7,6,6,375,5
902,5,FDP,13,"Wilms, Dr. Stephan",15,,580,580,31,49,20,57,27,19,23,19,335
902,5,FDP,14,"Bauer, Nicole",11,,1150,1150,24,502,41,441,26,17,12,39,48
902,5,FDP,15,"Kroiss, Dr. Heinz",10,,1662,1662,22,18,1440,82,21,21,9,25,24
