regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.Nr.1),G2),Gesamtstimmen,darunterZweitstimmen,301AmbergSulzbach,302Cham,303Neumarkt i.d.OPf.,304RegensburgLand,305RegensburgStadt,306Schwandorf,307Tirschenreuth,308Weideni.d.OPf.
903,1,CSU,1,"Müller, Emilia",1,L,125876,125876,16604,12130,7749,16948,14458,30425,13213,14349
903,1,CSU,2,"Hierl, Susanne",9,,30760,30760,1348,266,26076,851,803,686,323,407
903,1,CSU,3,"Thoma, Julia",12,,14397,14397,905,458,721,1333,845,795,8066,1274
903,1,CSU,4,"Popp, Elisabeth",11,,23454,23454,420,20351,179,802,566,611,220,305
903,1,CSU,5,"Beer, Matthias",16,,7440,7440,231,128,953,4736,783,295,144,170
903,1,CSU,6,"Ott, Stefan",13,,13673,13673,10293,193,441,530,549,796,366,505
903,1,CSU,7,"Nachtigall, Dagmar",15,,9597,9597,331,54,103,215,186,383,1110,7215
903,1,CSU,8,"GlufkeBöhm, Alexandra",14,,9796,9796,288,89,93,2651,6173,288,101,113
903,1,CSU,9,"Dettenhöfer, Petra",6,S,32578,7075,933,37,52,200,173,160,5520,25503*
903,1,CSU,10,"Flierl, Alexander",7,S,32187,1587,245,229,63,135,215,30600*,100,600
903,1,CSU,11,"Füracker, Albert",4,S,42184,4363,736,269,37821*,1807,513,421,313,304
903,1,CSU,12,"Hopp, Dr. Gerhard",10,S,30560,780,95,29780*,68,158,234,145,35,45
903,1,CSU,13,"Reiß, Tobias",8,S,31291,1242,172,45,42,128,194,92,30049*,569
903,1,CSU,14,"Rieger, Dr. Franz",3,S,44462,12483,474,344,333,10146,31979*,725,259,202
903,1,CSU,15,"Schwartz, Dr. Harald",5,S,34502,1222,33280*,57,91,128,229,477,81,159
903,1,CSU,16,"Stierstorfer, Sylvia",2,S,46099,6326,114,261,127,39773*,5339,291,77,117
903,1,CSU,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,1861,1861,308,136,150,261,286,368,196,156
903,1,CSU,,Erststimmen insgesamt,,,258785,,33280,29780,37821,39773,31979,30600,30049,25503
903,1,CSU,,Zweitstimmen insgesamt,,,271932,271932,33497,35047,37241,41029,31546,36958,30124,26490
903,1,CSU,,Gesamtstimmen,,,530717,271932,66777,64827,75062,80802,63525,67558,60173,51993
