regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.Nr.1),G2),Gesamtstimmen,darunterZweitstimmen,401BambergLand,402BambergStadt,403Bayreuth,404Coburg,405Forchheim,406Hof,"407Kronach,Lichtenfels",408WunsiedelKulmbach
904,1,CSU,1,"Huml, Melanie",1,S,115278,91040,27609,24238*,8348,11169,10249,9613,14482,9570
904,1,CSU,2,"Lerchenfeld Freiherr von, Ludwig",6,L,33144,33144,457,3243,1511,708,613,8195,4227,14190
904,1,CSU,3,"König, Alexander",8,S,30906,3459,73,266,211,170,170,27447*,774,1795
904,1,CSU,4,"Rudrof, Heinrich",2,S,45668,14790,30878*,12039,534,300,508,366,766,277
904,1,CSU,5,"BrendelFischer, Gudrun",3,S,42214,7734,121,239,34480*,128,178,772,388,5908
904,1,CSU,6,"Heike, Jürgen W.",9,S,29500,3395,122,240,170,26105*,123,308,2255,177
904,1,CSU,7,"Schöffel, Martin",4,S,40913,4330,149,193,587,193,250,2791,167,36583*
904,1,CSU,8,"Greif, Hermann",11,,16363,16363,574,224,825,422,12548,581,491,698
904,1,CSU,9,"Then, Holger",13,,9293,9293,281,280,92,821,90,101,7544,84
904,1,CSU,10,"Hohl, Dr. Michael",7,,32159,32159,163,357,23826,332,520,2343,715,3903
904,1,CSU,11,"Link, Marion",16,,4830,4830,2080,711,360,307,351,381,341,299
904,1,CSU,12,"Hofmann, Michael",10,S,23756,970,415,181,105,61,22786*,61,80,67
904,1,CSU,13,"Czepluch, Stephan",15,,4914,4914,973,3573,43,88,67,41,89,40
904,1,CSU,14,"Boldt, René",12,,13172,13172,36,56,35,12089,49,105,740,62
904,1,CSU,15,"Baumgärtner, Jürgen",5,S,35051,1728,144,186,223,362,188,330,33323*,295
904,1,CSU,16,"Rose, Christian",14,,5577,5577,47,76,110,94,82,4581,129,458
904,1,CSU,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,1645,1645,86,157,184,290,230,222,211,265
904,1,CSU,,Erststimmen insgesamt,,,235840,,30878,24238,34480,26105,22786,27447,33323,36583
904,1,CSU,,Zweitstimmen insgesamt,,,248543,248543,33330,22021,37164,27534,26216,30791,33399,38088
904,1,CSU,,Gesamtstimmen,,,484383,248543,64208,46259,71644,53639,49002,58238,66722,74671
904,2,SPD,1,"Aures, Inge",1,L,68703,43712,2166,2857,12779,5697,2219,10984,7010,24991*
