regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,501  Nürnberg-Nord,502  Nürnberg-Ost,503  Nürnberg-Süd,504  Nürnberg-West,505  Ansbach-Nord,"506  Ansbach-Süd, Weißenburg-Gunzenhausen",507  Erlangen-Höchstadt,508  Erlangen-Stadt,509  Fürth,"510  Neustadt a.d.Aisch-Bad Windsheim, Fürth-Land",511  Nürnberger Land,512  Roth
905,1,CSU,1,"Herrmann, Joachim",2,S,125320,102241,5053,5984,5632,8751,8947,11393,18882,23079*,9352,12692,8577,6978
905,1,CSU,2,"Söder, Dr. Markus",1,S,160659,139591,12839,13112,14823,21068*,9874,13299,6733,13952,15478,14982,13559,10940
905,1,CSU,3,"Guttenberger, Petra",4,S,39944,10399,767,657,521,1259,547,568,622,1100,29545*,3248,561,549
905,1,CSU,4,"Herold, Hans",3,S,41810,1630,76,68,56,126,502,117,159,95,269,40180*,78,84
905,1,CSU,5,"Freller, Karl",6,S,36237,11683,351,589,24554*,1482,459,947,166,251,559,385,422,6072
905,1,CSU,6,"FröhlichMüller, Christine",15,,5935,5935,514,863,478,1681,181,234,243,264,700,274,294,209
905,1,CSU,7,"Schalk, Andreas",13,,17051,17051,70,80,67,95,9120,6454,76,94,130,663,56,146
905,1,CSU,8,"Imhof, Hermann",9,S,30311,6588,1049,23723*,1231,2123,112,120,150,295,552,198,480,278
905,1,CSU,9,"Ströbel, Jürgen",7,S,35803,7343,131,86,103,167,28460*,2911,206,125,212,2832,142,428
905,1,CSU,10,"Latson, Julia",17,,5084,5084,107,98,146,142,89,674,61,79,167,90,122,3309
905,1,CSU,11,"Dünkel, Norbert",8,S,31727,1424,97,733,54,85,49,50,96,64,94,49,30303*,53
905,1,CSU,12,"Winkler, Tobias",19,,3891,3891,65,58,84,106,147,104,46,68,745,2316,63,89
905,1,CSU,13,"Nussel, Walter",11,S,28474,2663,59,42,41,64,75,92,25811*,1384,126,625,76,79
905,1,CSU,14,"Brückner, Michael",12,S,26517,5287,21230*,464,390,906,511,397,298,262,768,521,380,390
905,1,CSU,15,"Brandenstein, Sonja",16,,5366,5366,267,208,193,262,184,209,659,2337,374,288,195,190
905,1,CSU,16,"Bauer, Volker",10,S,29324,2020,113,108,669,154,215,226,94,101,132,104,104,27304*
905,1,CSU,17,"Westphal, Manuel",5,S,38603,743,50,42,28,60,185,37860*,26,36,87,58,35,136
905,1,CSU,18,"Lay, Gabriele",21,,1838,1838,192,122,155,577,76,76,76,71,213,104,83,93
905,1,CSU,19,"Schellhas, Ingmar",24,,751,751,93,106,167,126,23,13,22,30,72,19,33,47
905,1,CSU,20,"Felßner, Günther",14,,9641,9641,106,264,88,49,722,458,244,120,84,651,6506,349
905,1,CSU,21,"Kanczarek, Christine",23,,768,768,38,19,14,32,13,15,336,182,45,37,20,17
905,1,CSU,22,"Höllriegl, Oliver",22,,793,793,179,90,64,179,22,23,22,35,90,22,40,27
905,1,CSU,23,"Schmidt, Gerhard",20,,2201,2201,170,170,205,659,74,103,76,85,270,177,110,102
905,1,CSU,24,"Hergenröder, Alisa",18,,4319,4319,291,328,233,269,244,293,245,266,347,314,1247,242
905,1,CSU,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,2789,2789,144,168,200,205,192,310,283,309,260,249,241,228
905,1,CSU,,Erststimmen insgesamt,,,333117,,21230,23723,24554,21068,28460,37860,25811,23079,29545,40180,30303,27304
905,1,CSU,,Zweitstimmen insgesamt,,,352039,352039,22821,24459,25642,19559,32563,39086,29821,21605,31126,40898,33424,31035
905,1,CSU,,Gesamtstimmen,,,685156,352039,44051,48182,50196,40627,61023,76946,55632,44684,60671,81078,63727,58339
905,2,SPD,1,"SchmittBussinger, Helga",1,L,79457,60477,5001,4791,18980*,5392,6238,5595,4255,3652,6268,5311,5452,8522
905,2,SPD,2,"Schuster, Stefan",2,L,47479,32806,4086,3836,9900,14673*,1800,1246,1458,1230,3393,1959,2634,1264
905,2,SPD,3,"Weikert, Angelika",3,L,31532,13834,3143,17698*,2154,2963,489,376,551,434,1077,538,1779,330
905,2,SPD,4,"Arnold, Horst",4,L,29977,8083,542,590,500,608,454,307,438,291,21894*,3708,461,184
905,2,SPD,5,"Hiersemann, Alexandra",7,L,24597,9494,538,493,391,372,317,283,15103*,5258,745,444,487,166
905,2,SPD,6,"Bergmann, Ernst",8,,23315,4314,431,1286,364,446,223,194,250,192,440,244,19001*,244
905,2,SPD,7,"Dösel, Harald",11,,17329,2040,125,123,151,109,660,15289*,68,97,176,95,143,293
905,2,SPD,8,"Ehrhardt, Sven",9,,20670,4164,314,260,811,272,266,731,204,216,425,257,408,16506*
905,2,SPD,9,"Dumler, Norbert",12,,16735,3488,87,91,81,72,13247*,2360,38,68,150,337,150,54
905,2,SPD,10,"Scheuenstuhl, Harry",6,L,24672,6891,388,391,315,352,699,305,429,235,3249,17781*,374,154
905,2,SPD,11,"Dees, Philipp",10,,17824,3581,231,179,96,152,66,71,2173,14243*,226,154,154,79
905,2,SPD,12,"Tasdelen, Arif",5,L,27681,8393,19288*,2500,1022,1633,216,161,278,342,1015,293,625,308
905,2,SPD,13,"Nagel, Irmgard",14,,3622,3622,72,311,60,73,76,77,67,52,103,74,2591,66
905,2,SPD,14,"Krug, Edwin",17,,2493,2493,127,69,105,112,995,139,73,54,171,457,76,115
905,2,SPD,15,"Seiß de Caicedo, Katja",15,,3196,3196,129,78,53,65,50,30,49,75,2417,186,35,29
905,2,SPD,16,"Beringer, Benjamin",13,,4068,4068,174,138,161,131,135,365,119,176,165,96,168,2240
905,2,SPD,17,"Weidinger, Barbara",18,,2281,2281,95,146,68,75,51,38,1076,246,70,62,323,31
905,2,SPD,18,"Kießling, Benjamin",22,,1695,1695,101,76,95,101,429,465,56,43,89,91,78,71
905,2,SPD,19,"Alexie, Mariana",24,,997,997,212,165,98,180,33,35,36,33,93,29,60,23
905,2,SPD,20,"Sussmann, Jörg",21,,1832,1832,49,38,43,52,51,33,419,75,81,906,55,30
905,2,SPD,21,"Hurle, Katrin",19,,2181,2181,69,73,29,39,32,25,407,1336,53,47,45,26
905,2,SPD,22,"Dötschel, Herbert",20,,2005,2005,247,231,400,358,93,93,66,57,170,93,123,74
