regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,601  Aschaffenburg-Ost,602  Aschaffenburg-West,603  Bad Kissingen,"604  Haßberge, Rhön-Grabfeld",605  Kitzingen,606  Main-Spessart,607  Miltenberg,608  Schweinfurt,609  Würzburg-Land,610  Würzburg-Stadt
906,1,CSU,1,"Stamm, Barbara",1,L,217083,217083,11882,10763,25248,25468,19351,25876,14986,25603,35179,22727
906,1,CSU,2,"Eck, Gerhard",2,S,48508,14858,208,220,1003,5626,5362,510,328,33650*,894,707
906,1,CSU,3,"Demar, Josef",13,,11574,11574,80,96,1936,8490,78,81,98,399,156,160
906,1,CSU,4,"Wende, Martin",15,,8195,8195,153,149,6111,253,110,356,110,375,243,335
906,1,CSU,5,"Gerlach, Judith",12,L,16120,16120,4222,8341,166,159,112,331,2063,177,229,320
906,1,CSU,6,"Heckenlauer, Friedel",18,,5587,5587,52,63,841,1050,92,48,50,3241,68,82
906,1,CSU,7,"Hoßmann, Maria",14,,10095,10095,374,255,599,492,373,5720,427,525,935,395
906,1,CSU,8,"Houben, Frank",19,,5392,5392,2939,1154,116,107,91,121,335,158,187,184
906,1,CSU,9,"Klein, Burkhard",20,,4346,4346,23,41,40,67,3832,41,33,74,119,76
906,1,CSU,10,"Lippert, SoryaLeonie",17,,7075,7075,115,110,540,701,254,128,121,4603,209,294
906,1,CSU,11,"Passow, Karin",16,,7345,7345,80,80,52,49,30,49,6818,55,71,61
906,1,CSU,12,"Bausback, Prof. Dr. Winfried",7,S,33466,10239,7152,23227*,110,95,57,180,2226,102,103,214
906,1,CSU,13,"Hünnerkopf, Dr. Otto",9,S,29795,1449,51,76,97,160,28346*,90,63,346,330,236
906,1,CSU,14,"Jörg, Oliver",8,S,30396,4926,60,85,184,166,327,465,104,212,3323,25470*
906,1,CSU,15,"Kirchner, Sandro",5,S,35933,1124,69,68,34809*,476,47,75,43,147,79,120
906,1,CSU,16,"Ländner, Manfred",3,S,41210,1612,11,19,42,34,167,125,17,142,39598*,1055
906,1,CSU,17,"Rüth, Berthold",11,S,28416,971,448,239,20,54,13,65,27445*,24,33,75
906,1,CSU,18,"Schwab, Thorsten",10,S,29628,844,112,84,52,43,42,28784*,90,54,264,103
906,1,CSU,19,"Vogel, Steffen",4,S,40949,1152,40,27,351,39797*,75,54,33,394,65,113
906,1,CSU,20,"Winter, Peter",6,S,34735,4989,29746*,4066,31,26,28,131,553,43,68,43
906,1,CSU,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,1595,1595,128,150,161,212,223,115,111,187,103,205
906,1,CSU,,Erststimmen insgesamt,,,310872,,29746,23227,34809,39797,28346,28784,27445,33650,39598,25470
906,1,CSU,,Zweitstimmen insgesamt,,,336571,336571,28199,26086,37700,43728,30664,34561,28609,36861,42658,27505
906,1,CSU,,Gesamtstimmen,,,647443,336571,57945,49313,72509,83525,59010,63345,56054,70511,82256,52975
906,2,SPD,1,"Halbleib, Volkmar",1,L,47269,27935,1156,1931,2251,2851,3755,2520,1583,4205,19334*,7683
906,2,SPD,2,"Fehlner, Martina",3,L,32500,19403,7889,13097*,403,570,315,845,4766,811,2899,905
906,2,SPD,3,"Schneider, Harald",5,,19663,7205,346,872,437,438,273,12458*,1745,1036,1290,768
906,2,SPD,4,"Petersen, Kathi",4,L,22339,6808,98,324,1449,2600,991,375,109,15531*,438,424
906,2,SPD,5,"Kihn, Matthias",7,,16100,3125,114,160,1411,12975*,74,103,83,655,193,332
906,2,SPD,6,"Aschenbrenner, Doris",9,,13113,4184,107,316,115,178,8929*,228,81,575,1118,1466
906,2,SPD,7,"Rosenthal, Georg",2,L,33714,17427,192,585,738,717,1445,2597,380,2317,8456,16287*
906,2,SPD,8,"TrageserHeininger, Eva",6,,16987,5104,11883*,2570,205,360,194,272,305,381,337,480
906,2,SPD,9,"Meyerer, Thorsten",10,,12577,1089,71,290,29,75,38,375,11488*,76,45,90
906,2,SPD,10,"Römmelt, Dr. Robert",8,,13708,1481,45,83,12227*,481,72,85,51,406,117,141
906,2,SPD,11,"Stickler, Nina",16,,2306,2306,527,1059,57,54,44,85,96,112,78,194
906,2,SPD,12,"Reuter, Sebastian",12,,2997,2997,100,117,1713,153,50,289,54,312,114,95
906,2,SPD,13,"Pfannenschmidt, André",20,,1593,1593,68,98,78,96,58,47,820,136,69,123
906,2,SPD,14,"Akçay, Niyazi",14,,2490,2490,88,202,61,89,105,133,204,214,323,1071
906,2,SPD,15,"Finster, Robert",18,,1786,1786,13,33,23,53,1375,40,21,103,70,55
906,2,SPD,16,"Dietz, Helmut",15,,2309,2309,7,17,20,2100,14,10,16,61,21,43
906,2,SPD,17,"Niklaus, Kai",19,,1740,1740,8,56,265,505,17,13,7,832,12,25
906,2,SPD,18,"Mehrlich, Dirk",11,,3260,3260,63,71,30,22,17,2898,30,40,49,40
906,2,SPD,19,"Herbrik, Rafael",13,,2979,2979,214,2299,33,25,19,31,238,37,35,48
906,2,SPD,20,"Liegmann, Fabian",17,,1889,1889,74,87,93,109,82,139,67,148,775,315
906,2,SPD,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,1082,1082,70,93,102,156,66,114,66,158,132,125
906,2,SPD,,Erststimmen insgesamt,,,134209,,11883,13097,12227,12975,8929,12458,11488,15531,19334,16287
906,2,SPD,,Zweitstimmen insgesamt,,,118192,118192,11250,11263,9513,11632,9004,11199,10722,12615,16571,14423
906,2,SPD,,Gesamtstimmen,,,252401,118192,23133,24360,21740,24607,17933,23657,22210,28146,35905,30710
906,3,Freie Wähler,1,"Fahn, Dr. Hans Jürgen",1,L,17276,13883,3393*,1549,496,835,1001,1813,5538,771,1135,745
906,3,Freie Wähler,2,"Felbinger, Günther",2,L,16904,5002,907,177,1261,340,514,11902*,152,397,711,543
906,3,Freie Wähler,3,"Knof, Dr. Susanne",3,,10977,2973,238,223,189,287,8004*,509,191,245,656,435
906,3,Freie Wähler,4,"Pittner, Gerald",4,,8133,1629,84,59,794,6504*,149,135,47,148,89,124
906,3,Freie Wähler,5,"Schötterl, Bernd",5,,7675,449,77,89,24,44,41,61,7226*,22,48,43
906,3,Freie Wähler,6,"Schön, Adolf",6,,6783,1614,99,75,231,347,268,236,96,5169*,178,84
906,3,Freie Wähler,7,"Weber, HansJürgen",8,,5551,2108,97,65,90,99,401,406,46,104,800,3443*
906,3,Freie Wähler,8,"Neßwald, Dennis",10,,4196,1792,1260,2404*,23,52,39,69,227,31,35,56
906,3,Freie Wähler,9,"Glückler, Reimar",7,,6233,794,52,66,5439*,83,73,234,44,102,67,73
906,3,Freie Wähler,10,"Wagner, Richard",9,,5109,635,20,30,31,235,53,65,27,21,4474*,153
906,3,Freie Wähler,11,"Zenger, Alfred",17,,1095,1095,41,35,12,20,20,268,641,17,19,22
906,3,Freie Wähler,12,"Hußlein, Edwin",18,,622,622,4,12,34,42,42,16,4,448,11,9
906,3,Freie Wähler,13,"Hahn, Ulrike",16,,1372,1372,41,38,57,108,762,74,51,124,67,50
906,3,Freie Wähler,14,"Winkler, Christoph",12,,2613,2613,13,13,17,2359,28,28,15,30,72,38
906,3,Freie Wähler,15,"Pfister, Dagmar",19,,582,582,18,24,14,21,68,84,27,42,219,65
906,3,Freie Wähler,16,"Labus, Stefan",13,,2097,2097,19,19,93,101,59,49,27,1648,47,35
906,3,Freie Wähler,17,"Seifert, Irmgard",15,,1733,1733,18,15,627,881,56,26,20,34,31,25
906,3,Freie Wähler,18,"Schlowack, Johann",20,,556,556,25,36,12,20,27,122,240,20,21,33
906,3,Freie Wähler,19,"Eckert, Roland",14,,1887,1887,10,15,7,22,1726,10,12,22,38,25
906,3,Freie Wähler,20,"Müller, Michael",11,,3505,3505,77,58,32,31,66,2854,105,22,168,92
906,3,Freie Wähler,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,425,425,23,23,37,52,59,75,67,31,35,23
906,3,Freie Wähler,,Erststimmen insgesamt,,,57958,,3393,2404,5439,6504,8004,11902,7226,5169,4474,3443
906,3,Freie Wähler,,Zweitstimmen insgesamt,,,47366,47366,3123,2621,4081,5979,5452,7134,7577,4279,4447,2673
906,3,Freie Wähler,,Gesamtstimmen,,,105324,47366,6516,5025,9520,12483,13456,19036,14803,9448,8921,6116
906,4,Grüne,1,"Celina, Kerstin",1,L,19665,11937,402,1017,917,1111,1009,1174,513,1314,7728*,4480
906,4,Grüne,2,"Mütze, Thomas",2,L,19563,11213,4810,8350*,221,249,170,662,2598,254,1533,716
906,4,Grüne,3,"Pumpurs, Eva",9,,5769,2567,47,153,3202*,109,108,234,61,112,1162,581
906,4,Grüne,4,"Friedl, Patrick",3,,15119,4731,62,265,343,168,291,346,74,243,2939,10388*
906,4,Grüne,5,"Fuchs, Ayfer",4,,9541,3978,105,210,700,722,399,285,131,5563*,447,979
