regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,701  Augsburg-Stadt-Ost,702  Augsburg-Stadt-West,703  Aichach-Friedberg,"704  Augsburg-Land, Dillingen",705  Augsburg-Land-Süd,706  Donau-Ries,707  Günzburg,708  Kaufbeuren,"709  Kempten, Oberallgäu","710  Lindau, Sonthofen",711  Marktoberdorf,712  Memmingen,713  Neu-Ulm
907,1,CSU,1,"Merk, Dr. Beate",1,S,129234,100145,6025,7082,7471,12407,10100,8078,10295,5335,8942,8016,6957,9437,29089*
907,1,CSU,2,"Kreuzer, Thomas",2,S,69907,39455,753,905,1025,986,1281,636,660,2362,30452*,12254,7595,3735,7263
907,1,CSU,3,"Schorer, Angelika",4,S,43321,11812,238,287,300,306,920,190,279,5333,1677,701,31509*,639,942
907,1,CSU,4,"Hintersberger, Johannes",3,S,49069,23264,9511,25805*,2519,2173,6415,740,274,142,386,222,237,164,481
907,1,CSU,5,"Fasching, Marlies",21,,12524,12524,181,478,1408,6749,1450,1279,128,100,138,148,156,101,208
907,1,CSU,6,"Reichhart, Dr. Hans",14,L,24462,24462,673,789,467,2018,2225,459,14772,359,516,489,254,380,1061
907,1,CSU,7,"Dworacek, Melanie",20,,13479,13479,422,382,544,480,799,351,419,4330,999,795,2579,522,857
907,1,CSU,8,"Beißwenger, Eric",15,L,21513,21513,63,49,57,50,77,66,55,421,9526,8738,1434,844,133
907,1,CSU,9,"Bittner, Reinhold",17,,18890,18890,142,166,174,270,174,16941,82,95,224,178,108,104,232
907,1,CSU,10,"Baur, Christoph",22,,12402,12402,172,214,303,235,339,155,259,489,947,643,399,7250,997
907,1,CSU,11,"Losinger, Manfred",16,,20950,20950,991,802,16107,425,804,239,186,150,260,222,176,197,391
907,1,CSU,12,"Hogrefe, Dr. Günther",18,,14686,14686,165,208,152,164,240,87,327,120,214,258,134,398,12219
907,1,CSU,13,"Dietz, Leo",19,,14282,14282,3307,4342,1640,782,2947,328,184,90,129,175,106,83,169
907,1,CSU,14,"Gschwill, Johann",23,,5418,5418,32,38,29,29,73,14,20,60,107,40,4912,29,35
907,1,CSU,15,"Bernicker, Michael",26,,3459,3459,921,1061,250,201,526,127,48,34,62,56,38,34,101
907,1,CSU,16,"Mai, Armin",24,,4429,4429,149,141,166,149,2526,147,122,170,157,152,199,112,239
907,1,CSU,17,"Briechle, Erwin",25,,4116,4116,83,65,83,88,120,67,59,88,2484,291,270,272,146
907,1,CSU,18,"Fackler, Wolfgang",9,S,36059,2514,74,80,90,1937,59,33545*,29,26,71,35,30,25,58
907,1,CSU,19,"Holetschek, Klaus",6,S,41639,11906,111,136,100,92,327,60,220,8973,361,238,1031,29733*,257
907,1,CSU,20,"Kränzle, Bernd",12,S,34496,9748,24748*,4609,901,811,2365,225,98,60,77,87,66,105,344
907,1,CSU,21,"Pschierer, Franz Josef",7,S,37787,10324,113,151,119,210,537,106,691,27463*,655,311,2905,4117,409
907,1,CSU,22,"Rotter, Eberhard",8,S,36348,1324,28,30,46,32,61,14,20,44,877,35024*,53,44,75
907,1,CSU,23,"Sauter, Alfred",10,S,35540,6782,408,550,440,1138,883,346,28758*,329,228,175,176,428,1681
907,1,CSU,24,"Tomaschko, Peter",11,S,34801,643,116,115,34158*,46,196,18,10,14,20,37,26,20,25
907,1,CSU,25,"Trautner, Carolina",5,S,43137,5193,668,2057,432,707,37944*,171,169,106,174,205,140,127,237
907,1,CSU,26,"Winter, Georg",13,S,32136,3018,132,165,101,29118*,194,1774,175,110,46,78,56,67,120
907,1,CSU,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,3997,3997,331,541,301,270,347,280,231,255,233,324,274,339,271
