UniqueID,parteiID,partei,Wahlkreis,ID,Name,Geb. Jahr,Wohnort
10101,1,CSU,901,101,"Aigner, Ilse",1964,Otterfing
10102,1,CSU,901,102,"Huber, Dr. Marcel",1958,Ampfing
10103,1,CSU,901,103,"Spaenle, Dr. Ludwig",1961,München
10104,1,CSU,901,104,"Schreyer, Kerstin",1971,Unterhaching
10105,1,CSU,901,105,"Kiechle, Dr. Marion",1960,München
10106,1,CSU,901,106,"Kaniber, Michaela",1977,Bayerisch Gmain
10107,1,CSU,901,107,"Herrmann, Dr. Florian",1971,Freising
10108,1,CSU,901,108,"Eisenreich, Georg",1970,München
10109,1,CSU,901,109,"Artmann, Daniel",1988,Rosenheim
10110,1,CSU,901,110,"Blume, Markus",1975,München
10111,1,CSU,901,111,"Scharf, Ulrike",1967,Fraunberg
10112,1,CSU,901,112,"Goppel, Dr. Thomas",1947,Eresing
10113,1,CSU,901,113,"Schmid, Josef",1969,München
10114,1,CSU,901,114,"Weidenbusch, Ernst",1963,Haar
10115,1,CSU,901,115,"Wittmann, Mechthilde",1967,München
10116,1,CSU,901,116,"Fröschl, Markus",1965,Trostberg
10117,1,CSU,901,117,"Schwaiger, Johann",1957,Grafing b.München
10118,1,CSU,901,118,"Schreder, Thomas",1966,Erding
10119,1,CSU,901,119,"Schorer-Dremel, Tanja",1964,Eichstätt
10120,1,CSU,901,120,"Theiss, Dr. Hans",1977,München
10121,1,CSU,901,121,"Bachhuber, Martin",1955,Bad Heilbrunn
10122,1,CSU,901,122,"Brannekämper, Robert",1965,München
10123,1,CSU,901,123,"Dorow, Alex",1964,Landsberg am Lech
10124,1,CSU,901,124,"Eiling-Hütig, Dr. Ute",1967,Feldafing
10125,1,CSU,901,125,"Enghuber, Matthias",1984,Neuburg a.d.Donau
10126,1,CSU,901,126,"Grob, Alfred",1965,Ingolstadt
10127,1,CSU,901,127,"Haas, August",1961,Dachau
10128,1,CSU,901,128,"Heese, Lutz",1948,München
10129,1,CSU,901,129,"Heimisch, Alexander",1978,Gaimersheim
10130,1,CSU,901,130,"Huber, Dr. Martin",1977,Töging a.Inn
10131,1,CSU,901,131,"Huber, Thomas",1972,Grafing b.München
10132,1,CSU,901,132,"Kittenrainer, Georg",1982,Bayrischzell
10133,1,CSU,901,133,"Kühn, Harald",1963,Murnau a.Staffelsee
10134,1,CSU,901,134,"Lederer, Otto",1970,Tuntenhausen
10135,1,CSU,901,135,"Lorenz, Andreas",1971,München
10136,1,CSU,901,136,"Miskowitsch, Benjamin",1984,Mammendorf
10137,1,CSU,901,137,"Moser, Christian",1989,Pfaffenhofen a.d.Ilm
10138,1,CSU,901,138,"Picker, Rolf-Jürgen",1953,Starnberg
10139,1,CSU,901,139,"Pickert, Tina",1984,München
10140,1,CSU,901,140,"Pollmann, Stephanie",1990,Heldenstein
10141,1,CSU,901,141,"Scheitz, Georg",1967,Andechs
10142,1,CSU,901,142,"Schickel, Dr. Matthias",1969,Ingolstadt
10143,1,CSU,901,143,"Seidenath, Bernhard",1968,Haimhausen
10144,1,CSU,901,144,"Steiner, Klaus",1953,Übersee
10145,1,CSU,901,145,"Stöttner, Klaus",1963,Prutting
10146,1,CSU,901,146,"Straub, Karl",1971,Wolnzach
10201,2,SPD,901,201,"Kohnen, Natascha",1967,Neubiberg
10202,2,SPD,901,202,"Rinderspacher, Markus",1969,München
10203,2,SPD,901,203,"Rauscher, Doris",1967,Ebersberg
10204,2,SPD,901,204,"Ritter, Florian",1962,München
10205,2,SPD,901,205,"Eichinger, Gertrud",1966,Finsing
10206,2,SPD,901,206,"Güll, Martin",1953,Hilgertshausen-Tandern
10207,2,SPD,901,207,"Zacharias, Isabell",1965,München
10208,2,SPD,901,208,"Parzinger, Sepp",1993,Bergen
10209,2,SPD,901,209,"Burgmaier, Alexandra",1968,Raubling
10210,2,SPD,901,210,"Knoblauch, Günther",1948,Mühldorf a.Inn
10211,2,SPD,901,211,"Waldmann, Ruth",1971,München
10212,2,SPD,901,212,"De Lapuente, Christian",1982,Ingolstadt
10213,2,SPD,901,213,"Ganssmüller-Maluche, Annette",1961,Ismaning
10214,2,SPD,901,214,"von Brunn, Florian",1969,München
10215,2,SPD,901,215,"Schmidt-Völlmecke, Verena",1978,Warngau
10216,2,SPD,901,216,"Falk, Peter",1964,Gröbenzell
10217,2,SPD,901,217,"Wenngatz, Micky",1960,München
10218,2,SPD,901,218,"Winklmeier, Christian",1991,Gilching
10219,2,SPD,901,219,"Kern, Christiane",1973,München
10220,2,SPD,901,220,"Malm, Dr. Mike",1974,München
10221,2,SPD,901,221,"Aigner, Susanne",1977,Laufen
10222,2,SPD,901,222,"Spaeth, Dr. Christoph",1981,Ingolstadt
10223,2,SPD,901,223,"Stachowitz, Diana",1963,München
10224,2,SPD,901,224,"Käser, Markus",1975,Pfaffenhofen a.d.Ilm
10225,2,SPD,901,225,"Promann, Britta",1968,Rosenheim
10226,2,SPD,901,226,"Ott, Dr. Michael",1964,München
10227,2,SPD,901,227,"Streit, Dominik",1983,Weilheim i.OB
10228,2,SPD,901,228,"Fischer, Andreas",1986,Neuburg a.d.Donau
10229,2,SPD,901,229,"Kühn, Robert",1982,Bad Wiessee
10230,2,SPD,901,230,"Maier, Kilian",1993,Mehring
10231,2,SPD,901,231,"Grill, Markus",1972,Freising
10301,3,FREIE WÄHLER,901,301,"Streibl, Florian",1963,Oberammergau
10302,3,FREIE WÄHLER,901,302,"Piazolo, Dr. Michael",1959,München
10303,3,FREIE WÄHLER,901,303,"Gottstein, Eva",1949,Eichstätt
10304,3,FREIE WÄHLER,901,304,"Zierer, Benno",1956,Freising
10305,3,FREIE WÄHLER,901,305,"Kraus, Nikolaus",1965,Ismaning
10306,3,FREIE WÄHLER,901,306,"Weigert, Roland",1968,Karlshuld
10307,3,FREIE WÄHLER,901,307,"Fischer, Mary",1962,Rimsting
10308,3,FREIE WÄHLER,901,308,"Krichenbauer, Johann",1962,Burgkirchen a.d.Alz
10309,3,FREIE WÄHLER,901,309,"Enders, Susann",1967,Weilheim i.OB
10310,3,FREIE WÄHLER,901,310,"Stahl, Felix",1977,München
10311,3,FREIE WÄHLER,901,311,"Purkhardt, Martina",1981,Schwabhausen
10312,3,FREIE WÄHLER,901,312,"Friedl, Hans",1957,Alling
10313,3,FREIE WÄHLER,901,313,"Edenhofer, Lilian",1967,Garmisch-Partenkirchen
10314,3,FREIE WÄHLER,901,314,"Koller, Michael",1976,Berchtesgaden
10315,3,FREIE WÄHLER,901,315,"Mehringer, Rainer",1963,Erding
10316,3,FREIE WÄHLER,901,316,"Flauger, Petra",1970,Ingolstadt
10317,3,FREIE WÄHLER,901,317,"Vilsmayer, Matthias",1972,Gilching
10318,3,FREIE WÄHLER,901,318,"Degenhart, Christine",1964,Rosenheim
10319,3,FREIE WÄHLER,901,319,"Hölscher, Gisela",1965,Waakirchen
10320,3,FREIE WÄHLER,901,320,"Schiller-Schulze, Ute",1962,München
10321,3,FREIE WÄHLER,901,321,"Stockinger, Georg",1960,Fürstenfeldbruck
10322,3,FREIE WÄHLER,901,322,"Seissiger, Dr. Lothar",1949,Siegsdorf
10323,3,FREIE WÄHLER,901,323,"Wittmann, Karl-Heinz",1946,München
10324,3,FREIE WÄHLER,901,324,"Blasi, Martin",1967,München
10325,3,FREIE WÄHLER,901,325,"Erhorn, Markus",1989,Dachau
10326,3,FREIE WÄHLER,901,326,"Breyer, Dr. Jörg",1964,München
10327,3,FREIE WÄHLER,901,327,"Gürtner, Albert",1960,Pfaffenhofen a.d.Ilm
10328,3,FREIE WÄHLER,901,328,"Saller, Markus",1969,Mühldorf a.Inn
10329,3,FREIE WÄHLER,901,329,"Ertl, Dr. Ilse",1965,Moosburg a.d.Isar
10330,3,FREIE WÄHLER,901,330,"Müller, Harald",1967,München
10331,3,FREIE WÄHLER,901,331,"Springer, Linus",1995,München
10332,3,FREIE WÄHLER,901,332,"Blank, Josef",1961,Traunreut
10333,3,FREIE WÄHLER,901,333,"Deger, Gökhan",1973,München
10334,3,FREIE WÄHLER,901,334,"Grübl, Fritz",1944,Bad Reichenhall
10335,3,FREIE WÄHLER,901,335,"Heilmeier, Bernd",1959,Eichenau
10336,3,FREIE WÄHLER,901,336,"Hoigt, Benedikt",1980,Erding
10337,3,FREIE WÄHLER,901,337,"Kaltner, Maria",1962,Dachau
10338,3,FREIE WÄHLER,901,338,"Obermüller, Andreas",1963,Tegernsee
10339,3,FREIE WÄHLER,901,339,"Scharlach, Maria",1964,Mauern
10340,3,FREIE WÄHLER,901,340,"Schüler, Dr. Thorsten, genannt dr. thosch",1966,Starnberg
10341,3,FREIE WÄHLER,901,341,"Stein, Barbara",1970,Prutting
10342,3,FREIE WÄHLER,901,342,"Wengenmaier, Renate",1968,Landsberg am Lech
10401,4,GRÜNE,901,401,"Schulze, Katharina",1985,München
10402,4,GRÜNE,901,402,"Hartmann, Ludwig",1978,München
10403,4,GRÜNE,901,403,"Sengl, Gisela",1960,Nußdorf
10404,4,GRÜNE,901,404,"Büchler, Dr. Markus",1973,Oberschleißheim
10405,4,GRÜNE,901,405,"Demirel, Gülseren",1964,München
10406,4,GRÜNE,901,406,"Becher, Johannes",1988,Moosburg a.d.Isar
10407,4,GRÜNE,901,407,"Köhler, Claudia",1966,Unterhaching
10408,4,GRÜNE,901,408,"Krahl, Andreas",1989,Seehausen a.Staffelsee
10409,4,GRÜNE,901,409,"Triebel, Gabriele",1960,Kaufering
10410,4,GRÜNE,901,410,"Hierneis, Christian",1963,München
10411,4,GRÜNE,901,411,"Kürten, Stephanie",1970,Karlshuld
10412,4,GRÜNE,901,412,"Runge, Dr. Martin",1958,Gröbenzell
10413,4,GRÜNE,901,413,"Kurz, Susanne",1974,München
10414,4,GRÜNE,901,414,"Zimmer, Dr. Bernhard",1961,Piding
10415,4,GRÜNE,901,415,"Müller, Marina",1993,Ingolstadt
10416,4,GRÜNE,901,416,"Siekmann, Florian",1995,München
10417,4,GRÜNE,901,417,"Günther, Susanne",1972,Freising
10418,4,GRÜNE,901,418,"Knobel, Martin",1987,Rosenheim
10419,4,GRÜNE,901,419,"Frank-Mayer, Ursula",1958,Dorfen
10420,4,GRÜNE,901,420,"von Sarnowski, Thomas",1988,Ebersberg
10421,4,GRÜNE,901,421,"Bogner, Judith",1968,Schwindegg
10422,4,GRÜNE,901,422,"Monatzeder, Hep",1951,München
10423,4,GRÜNE,901,423,"Schwarz, Karola",1971,Neuburg a.d.Donau
10424,4,GRÜNE,901,424,"Hinterholzer, Leonhard",1964,Prien a.Chiemsee
10425,4,GRÜNE,901,425,"Franke, Anne",1954,Gauting
10426,4,GRÜNE,901,426,"Bittlmayer, Klaus",1971,Eichstätt
10427,4,GRÜNE,901,427,"Gruber, Waltraud",1957,Aßling
10428,4,GRÜNE,901,428,"Kellermann, Dr. Thorsten",1977,München
10429,4,GRÜNE,901,429,"Stieglmeier, Helga",1956,Erding
10430,4,GRÜNE,901,430,"Tomaschek, Thomas",1975,Rottach-Egern
10431,4,GRÜNE,901,431,"Hanusch, Anna",1976,München
10432,4,GRÜNE,901,432,"Reim, Wilhelm",1980,Gerolsbach
10433,4,GRÜNE,901,433,"Hoffmann, Marese",1948,Hebertshausen
10434,4,GRÜNE,901,434,"Kreß, Thomas",1962,Dachau
10435,4,GRÜNE,901,435,"Habenschaden, Katrin",1977,München
10436,4,GRÜNE,901,436,"Urban, Hans",1978,Eurasburg
10437,4,GRÜNE,901,437,"Schwendner, Barbara",1963,Bad Tölz
10438,4,GRÜNE,901,438,"Adjei, Benjamin",1990,Taufkirchen
10439,4,GRÜNE,901,439,"Rosner, Andrea",1962,Kolbermoor
10440,4,GRÜNE,901,440,"Baier, Andreas",1973,München
10441,4,GRÜNE,901,441,"Nallinger, Sabine",1963,München
10442,4,GRÜNE,901,442,"Dürr, Dr. Sepp",1953,Germering
10443,4,GRÜNE,901,443,"Mörtl-Körner, Walburga",1957,Traunstein
10444,4,GRÜNE,901,444,"Aschauer, Albert",1961,Teisendorf
