regierungsbezirk-id,partei-id,partei-name,Nr.,Name,SZ.- Rf.1),PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,201  Deggendorf,202  Dingolfing,203  Kelheim,204  Landshut,205  Passau-Ost,206  Passau-West,"207  Regen, Freyung-Grafenau",208  Rottal-Inn,209  Straubing
902,1,CSU,1,"Sibler, Bernd",1,1,S,107.952,78.195,29.757*,11.515,7.612,11.696,9.340,7.335,12.736,9.839,8.122
902,1,CSU,2,"Zellmeier, Josef",18,2,S,38.381,2.583,250,477,523,1.023,71,60,104,75,35.798*
902,1,CSU,3,"Waschler, Dr. Gerhard",17,3,S,38.295,8.738,406,104,80,180,29.557*,5.684,1.803,398,83
902,1,CSU,4,"Loibl, Dr. Petra",13,4,S,36.050,5.147,1.426,30.903*,691,779,405,330,358,762,396
902,1,CSU,5,"Taubeneder, Walter",15,5,S,31.003,5.238,150,36,31,44,4.344,25.765*,91,528,14
902,1,CSU,6,"Högl, Petra",4,6,S,30.839,8.990,975,1.577,21.849*,3.606,637,547,539,608,501
902,1,CSU,7,"Radlmeier, Helmut",14,7,S,30.819,5.891,97,3.923,1.477,24.928*,61,25,32,154,122
902,1,CSU,8,"Gibis, Max",12,8,S,30.669,4.191,453,45,36,62,3.405,103,26.478*,46,41
902,1,CSU,9,"Wagle, Martin",16,9,S,28.524,501,33,78,16,74,37,214,27,28.023*,22
902,1,CSU,10,"Ritt, Hans",3,10,,26.670,26.670,1.049,1.048,671,764,256,199,305,358,22.020
902,1,CSU,11,"Haderer, Monika",7,11,,17.953,17.953,616,1.583,1.130,755,507,594,316,12.110,342
902,1,CSU,12,"Meyer, Stefan",5,12,,17.004,17.004,1.606,261,256,356,4.916,8.567,329,560,153
902,1,CSU,13,"Antretter, Oliver",10,13,,15.018,15.018,11.744,455,356,625,408,210,528,287,405
902,1,CSU,14,"Haase, Harald",2,14,,13.985,13.985,3.360,228,235,390,474,176,8.621,207,294
902,1,CSU,15,"Pütz, Dr. Ralph",6,15,,8.724,8.724,305,1.022,541,5.627,212,179,99,305,434
902,1,CSU,16,"Taitsch, Benjamin",8,16,,6.707,6.707,107,5.869,67,187,27,61,19,312,58
902,1,CSU,17,"Diermeier, Andreas",9,17,,5.926,5.926,54,57,5.545,109,38,17,21,22,63
902,1,CSU,18,"Binder, Johannes",11,18,,4.934,4.934,199,228,231,220,3.135,143,506,131,141
902,1,CSU,,,,,,,,,,,,,,,,
902,1,CSU,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,1.303,1.303,304,146,142,171,97,89,79,134,141
902,1,CSU,,Erststimmen insgesamt,,,,253.058,-,29.757,30.903,21.849,24.928,29.557,25.765,26.478,28.023,35.798
902,1,CSU,,Zweitstimmen insgesamt,,,,237.698,237.698,23.134,28.652,19.640,26.668,28.370,24.533,26.513,26.836,33.352
902,1,CSU,,Gesamtstimmen,,,,490.756,237.698,52.891,59.555,41.489,51.596,57.927,50.298,52.991,54.859,69.150
902,2,SPD,1,"Müller, Ruth",1,1,L,15.733,9.357,1.015,1.679,1.574,6.376*,1.255,640,969,905,1.320
902,2,SPD,2,"Flisek, Christian",4,2,L,12.701,4.610,423,63,61,113,8.091*,2.796,737,240,177
902,2,SPD,3,"Vilsmeier, Dr. Bernd",2,3,,8.133,5.040,3.093*,2.024,153,1.654,314,131,206,287,271
902,2,SPD,4,"Mayerhofer, Sabine",5,4,,6.626,2.018,123,88,72,197,1.222,4.608*,110,107,99
902,2,SPD,5,"Blöhm, Bettina",3,5,,5.988,1.976,334,90,86,331,718,213,4.012*,80,124
902,2,SPD,6,"Unfried, Harald",7,6,,5.859,2.370,35,317,3.489*,1.835,42,14,28,36,63
902,2,SPD,7,"Huber, Florian",8,7,,5.180,237,29,4.943*,36,56,15,16,12,24,49
902,2,SPD,8,"Sommerfeld, Dr. Olaf",6,8,,4.776,874,234,114,77,92,121,41,138,57,3.902*
902,2,SPD,9,"Kuby, Valentin",9,9,,3.654,506,56,98,43,81,78,45,34,3.148*,71
902,2,SPD,10,"Süß, Josef",15,10,,2.455,2.455,88,94,62,117,1.133,91,690,71,109
902,2,SPD,11,"Schweiger, Stephan",12,11,,2.256,2.256,26,14,1.987,67,32,28,20,22,60
902,2,SPD,12,"Hutter, Hans",16,12,,1.810,1.810,79,13,7,19,18,8,1.585,13,68
902,2,SPD,13,"Rampmaier, Dr. Jürgen",10,13,,1.690,1.690,57,46,41,73,62,94,28,1.210,79
902,2,SPD,14,"Kröll, Robert",17,14,,1.365,1.365,1.067,40,12,21,44,62,38,32,49
902,2,SPD,15,"Hutzenthaler, Sebastian",18,15,,1.188,1.188,18,116,32,918,19,9,13,18,45
902,2,SPD,16,"Kreutz, Martin",13,16,,794,794,9,27,26,90,8,7,12,15,600
902,2,SPD,17,"Rapke, Martin",11,17,,666,666,59,349,22,40,33,33,18,34,78
902,2,SPD,18,"Kaltenhauser, Peter",14,18,,426,426,7,7,9,21,27,213,11,110,21
902,2,SPD,,,,,,,,,,,,,,,,
902,2,SPD,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,291,291,40,25,43,26,31,13,32,42,39
902,2,SPD,,Erststimmen insgesamt,,,,41.662,-,3.093,4.943,3.489,6.376,8.091,4.608,4.012,3.148,3.902
902,2,SPD,,Zweitstimmen insgesamt,,,,39.929,39.929,3.699,5.204,4.343,5.751,5.172,4.454,4.681,3.303,3.322
902,2,SPD,,Gesamtstimmen,,,,81.591,39.929,6.792,10.147,7.832,12.127,13.263,9.062,8.693,6.451,7.224
902,3,Freie Wähler,1,"Aiwanger, Hubert",1,1,L,102.691,80.295,10.185,14.035,12.706,22.396*,7.023,7.884,9.132,8.436,10.894
902,3,Freie Wähler,2,"Widmann, Jutta",2,2,L,30.956,16.938,223,14.018*,255,15.064,139,185,198,645,229
902,3,Freie Wähler,3,"Faltermeier, Dr. Hubert",5,3,L,15.720,1.029,61,98,14.691*,622,41,43,52,47,65
902,3,Freie Wähler,4,"Eibl, Manfred",3,4,L,13.496,3.414,226,126,27,445,2.260,214,10.082*,55,61
902,3,Freie Wähler,5,"Beck, Tobias",6,5,,11.506,1.435,78,177,154,826,56,41,56,47,10.071*
902,3,Freie Wähler,6,"Toso, Roswitha",8,6,,10.858,1.863,89,94,44,77,8.995*,256,1.222,43,38
902,3,Freie Wähler,7,"Schießl, Werner",7,7,,9.739,427,33,127,14,63,24,106,22,9.312*,38
902,3,Freie Wähler,8,"Meiski, Dr. Georg",4,8,,9.244,1.767,7.477*,252,90,251,128,164,587,93,202
902,3,Freie Wähler,9,"Lindinger, Christian",9,9,,9.150,1.153,85,137,85,232,211,7.997*,66,244,93
902,3,Freie Wähler,10,"Weckmann, Stephan",10,10,,3.501,3.501,151,193,55,87,31,44,68,62,2.810
902,3,Freie Wähler,11,"Maiwald, Gerhild",12,11,,2.582,2.582,1.279,216,115,214,123,196,178,131,130
902,3,Freie Wähler,12,"Fichtner, Helmut",15,12,,2.169,2.169,31,58,1.724,216,22,23,25,26,44
902,3,Freie Wähler,13,"Fischer, Stefanie",14,13,,2.109,2.109,56,80,42,58,1.553,72,125,59,64
902,3,Freie Wähler,14,"Walter-Kilian, Annette",16,14,,1.435,1.435,32,386,56,787,19,22,25,71,37
902,3,Freie Wähler,15,"Bauer, Georg",11,15,,1.325,1.325,105,98,50,109,69,76,672,62,84
902,3,Freie Wähler,16,"Hirmer, Jakob",17,16,,1.120,1.120,14,26,11,27,15,111,12,885,19
902,3,Freie Wähler,17,"Daiberl, Herbert",18,17,,1.058,1.058,9,238,40,693,8,9,14,30,17
902,3,Freie Wähler,18,"Schneemayer, Helmut",13,18,,921,921,27,47,35,54,95,553,35,46,29
902,3,Freie Wähler,,,,,,,,,,,,,,,,
902,3,Freie Wähler,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,435,435,60,39,55,54,79,21,31,37,59
