regierungsbezirk-id,partei-id,partei-name,Nr.,Name,SZ.- Rf.1),PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,301  Amberg-Sulzbach,302  Cham,303  Neumarkt i.d.OPf.,304  Regensburg-Land,305  Regensburg-Stadt,306  Schwandorf,307  Tirschenreuth,308  Weiden i.d.OPf.
903,1,CSU,1,"Füracker, Albert",1,1,S,132.637,94.099,12.111,12.282,38.538*,17.212,12.542,16.633,12.666,10.653
903,1,CSU,2,"Stierstorfer, Sylvia",16,2,S,41.484,4.837,112,324,264,36.647*,3.567,381,96,93
903,1,CSU,3,"Rieger, Dr. Franz",14,3,S,33.407,7.793,309,570,1.058,4.736,25.614*,632,268,220
903,1,CSU,4,"Flierl, Alexander",10,4,S,33.394,2.773,287,808,311,147,279,30.621*,192,749
903,1,CSU,5,"Schwartz, Dr. Harald",15,5,S,32.384,1.505,30.879*,75,242,131,226,588,96,147
903,1,CSU,6,"Hopp, Dr. Gerhard",11,6,S,32.319,881,61,31.438*,110,156,209,267,29,49
903,1,CSU,7,"Reiß, Tobias",13,7,S,30.149,1.531,142,70,104,153,167,110,28.618*,785
903,1,CSU,8,"Oetzinger, Dr. Stephan",12,8,S,26.686,2.596,313,62,124,80,125,212,1.680,24.090*
903,1,CSU,9,"Blümel, Rita",2,9,,25.256,25.256,1.470,1.825,6.411,8.913,2.347,1.879,1.370,1.041
903,1,CSU,10,"Bärthlein, Thomas",3,10,,22.979,22.979,15.116,238,1.537,234,272,1.332,1.668,2.582
903,1,CSU,11,"Huber, Helga",7,11,,21.626,21.626,89,63,21.002,120,115,77,56,104
903,1,CSU,12,"Haimerl, Barbara",4,12,,12.968,12.968,206,9.898,335,989,505,771,128,136
903,1,CSU,13,"Lehner, Michael",5,13,,11.619,11.619,199,470,922,2.836,6.280,476,254,182
903,1,CSU,14,"Wendl, Manfred",9,14,,10.981,10.981,525,797,430,444,302,7.968,258,257
903,1,CSU,15,"Nachtigall, Dagmar",8,15,,10.378,10.378,231,217,253,130,128,396,2.155,6.868
903,1,CSU,16,"Renner, Tanja",6,16,,9.688,9.688,609,231,372,521,592,289,6.447,627
903,1,CSU,,,,,,,,,,,,,,,
903,1,CSU,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,1.233,1.233,202,121,131,274,150,130,116,109
903,1,CSU,,Erststimmen insgesamt,,,,246.445,-,30.879,31.438,38.538,36.647,25.614,30.621,28.618,24.090
903,1,CSU,,Zweitstimmen insgesamt,,,,242.743,242.743,31.982,28.051,33.606,37.076,27.806,32.141,27.479,24.602
903,1,CSU,,Gesamtstimmen,,,,489.188,242.743,62.861,59.489,72.144,73.723,53.420,62.762,56.097,48.692
903,2,SPD,1,"Karl, Annette",1,1,L,28.859,19.865,3.205,1.035,1.535,1.392,3.329,2.920,6.449,8.994*
