regierungsbezirk-id,partei-id,partei-name,id,Name,SZ.- Rf.1),PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,401  Bamberg-Land,402  Bamberg-Stadt,403  Bayreuth,404  Coburg,405  Forchheim,406  Hof,"407  Kronach, Lichtenfels","408  Wunsiedel, Kulmbach"
904,1,CSU,1,"Huml, Melanie",1,1,S,139.264,116.316,26.972,22.948*,13.574,13.848,14.613,12.102,20.114,15.093
904,1,CSU,2,"Brendel-Fischer, Gudrun",3,2,S,43.381,6.366,128,348,37.015*,140,187,631,336,4.596
904,1,CSU,3,"Schöffel, Martin",8,3,S,36.473,3.192,49,126,683,120,150,1.916,148,33.281*
904,1,CSU,4,"Dremel, Holger",9,4,S,36.365,7.007,29.358*,3.977,562,443,451,375,766,433
904,1,CSU,5,"Baumgärtner, Jürgen",16,5,S,32.821,587,54,63,52,195,40,69,32.234*,114
904,1,CSU,6,"König, Alexander",5,6,S,29.191,2.072,41,95,178,127,91,27.119*,604,936
904,1,CSU,7,"Mittag, Martin",4,7,S,26.720,1.925,199,333,168,24.795*,153,136,748,188
904,1,CSU,8,"Hofmann, Michael",11,8,S,24.363,775,284,171,124,43,23.588*,54,50,49
904,1,CSU,9,"Hohl, Dr. Michael",10,9,,22.845,22.845,74,219,17.497,195,285,1.052,409,3.114
904,1,CSU,10,"Lerchenfeld Freiherr von, Ludwig",2,10,,22.309,22.309,299,2.763,1.062,486,398,4.679,3.080,9.542
904,1,CSU,11,"Kraus, Rosa",7,11,,15.967,15.967,770,825,2.570,669,8.776,805,750,802
904,1,CSU,12,"Schulz, Michael",13,12,,10.905,10.905,67,135,118,8.822,162,180,1.187,234
904,1,CSU,13,"Kuhn, Stefan",12,13,,10.874,10.874,1.103,8.049,148,201,734,144,343,152
904,1,CSU,14,"Wagner, Paul-Bernhard",6,14,,8.879,8.879,67,138,159,102,91,7.472,296,554
904,1,CSU,15,"Zorn, Christian",15,15,,4.787,4.787,54,72,64,159,83,75,4.066,214
904,1,CSU,16,"Hummel, Alexander",14,16,,4.503,4.503,1.635,1.836,127,128,356,132,168,121
904,1,CSU,,,,,,,,,,,,,,,
904,1,CSU,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,1.146,1.146,141,97,164,158,86,168,170,162
904,1,CSU,,Erststimmen insgesamt,,,,230.338,-,29.358,22.948,37.015,24.795,23.588,27.119,32.234,33.281
904,1,CSU,,Zweitstimmen insgesamt,,,,240.455,240.455,31.937,19.247,37.250,25.836,26.656,29.990,33.235,36.304
904,1,CSU,,Gesamtstimmen,,,,470.793,240.455,61.295,42.195,74.265,50.631,50.244,57.109,65.469,69.585
904,2,SPD,1,"Aures, Inge",1,1,L,47.158,29.456,1.236,2.032,7.297,3.235,2.192,7.872,5.592,17.702*
904,2,SPD,2,"Adelt, Klaus",2,2,L,24.912,5.780,48,82,324,116,70,19.132*,436,4.704
904,2,SPD,3,"Busch, Michael",3,3,L,17.526,2.192,79,120,134,15.334*,88,242,1.241,288
904,2,SPD,4,"Tasdelen, Halil",5,4,,13.875,2.088,40,102,11.787*,108,217,266,81,1.274
904,2,SPD,5,"Pohl, Dr. Ralf",4,5,,11.910,1.757,71,164,219,642,148,202,10.153*,311
904,2,SPD,6,"Kuntke, Heinz",6,6,,7.178,1.900,1.071,5.278*,124,120,303,62,91,129
904,2,SPD,7,"Bartl, Franziska",9,7,,6.326,6.326,63,139,154,5.333,132,122,226,157
904,2,SPD,8,"Metzner, Uwe",8,8,,5.424,1.395,4.029*,1.105,61,59,61,29,38,42
904,2,SPD,9,"Karabag, Dr. Atila",7,9,,5.312,804,79,204,193,88,4.508*,95,73,72
904,2,SPD,10,"Flauder, Christina",13,10,,4.882,4.882,17,19,168,37,14,87,147,4.393
