regierungsbezirk-id,partei-id,partei-name,id,Name,SZ.- Rf.1),PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,701  Augsburg-Stadt-Ost,702  Augsburg-Stadt-West,703  Aichach-Friedberg,"704  Augsburg-Land, Dillingen",705  Augsburg-Land-Süd,706  Donau-Ries,707  Günzburg,708  Kaufbeuren,"709  Kempten, Oberallgäu","710  Lindau, Sonthofen",711  Marktoberdorf,712  Memmingen,713  Neu-Ulm
907,1,CSU,1,"Kreuzer, Thomas",1,1,S,113.418,87.620,3.875,3.792,5.329,6.199,7.332,5.321,2.645,7.693,25.798*,16.674,12.907,8.856,6.997
907,1,CSU,2,"Trautner, Carolina",2,2,S,51.431,17.528,1.883,5.235,1.395,2.614,33.903*,756,385,321,3.199,426,357,291,666
907,1,CSU,3,"Pschierer, Franz Josef",4,3,S,44.414,19.250,315,362,410,542,1.491,479,883,25.164*,1.980,737,4.165,7.070,816
907,1,CSU,4,"Hintersberger, Johannes",6,4,S,42.665,18.470,7.609,24.195*,2.311,1.464,5.444,502,184,135,170,161,122,107,261
907,1,CSU,5,"Schorer, Angelika",5,5,S,39.104,8.690,231,198,220,235,944,180,169,4.426,876,422,30.414*,497,292
907,1,CSU,6,"Merk, Dr. Beate",7,6,S,38.943,13.937,539,788,799,1.997,1.387,1.380,1.963,696,982,628,605,2.173,25.006*
907,1,CSU,7,"Fackler, Wolfgang",21,7,S,36.265,2.633,93,110,129,1.826,75,33.632*,35,130,66,28,26,40,75
907,1,CSU,8,"Winter, Georg",26,8,S,33.847,2.396,68,116,75,31.451*,115,1.661,128,50,28,22,18,29,86
907,1,CSU,9,"Beißwenger, Eric",20,9,S,33.543,3.882,40,43,58,58,82,67,54,147,2.536,29.661*,422,207,168
907,1,CSU,10,"Holetschek, Klaus",22,10,S,33.207,5.956,33,34,37,25,75,34,77,4.372,417,143,229,27.251*,480
907,1,CSU,11,"Tomaschko, Peter",25,11,S,32.646,751,161,114,31.895*,93,254,35,22,16,14,6,9,15,12
907,1,CSU,12,"Reichhart, Dr. Hans",3,12,,32.535,32.535,583,750,573,4.850,2.911,621,18.175,625,886,389,315,520,1.337
907,1,CSU,13,"Sauter, Alfred",24,13,S,28.891,3.976,152,248,264,791,405,213,24.915*,223,150,82,83,208,1.157
907,1,CSU,14,"Jäckel, Andreas",23,14,S,25.671,3.695,21.976*,1.481,393,307,989,139,65,61,44,49,34,38,95
907,1,CSU,15,"Ost, Franz",13,15,,22.450,22.450,86,119,307,1.859,253,18.592,179,181,83,148,140,175,328
907,1,CSU,16,"Losinger, Manfred",11,16,,21.991,21.991,714,612,15.948,625,1.030,417,249,336,280,459,449,426,446
907,1,CSU,17,"Rauch, Hans-Peter",9,17,,17.909,17.909,167,243,308,311,361,273,182,407,11.911,1.813,884,621,428
907,1,CSU,18,"Kränzle, Bernd",12,18,,13.828,13.828,2.985,4.916,970,952,2.743,365,106,91,110,79,58,91,362
907,1,CSU,19,"Deil, Johann",14,19,,10.164,10.164,82,73,76,89,113,71,272,65,63,49,42,419,8.750
907,1,CSU,20,"Weldishofer, Christian",15,20,,9.696,9.696,471,679,554,1.510,3.727,336,421,361,297,280,269,241,550
907,1,CSU,21,"Windhaber, Hannelore",8,21,,9.020,9.020,92,95,110,86,211,100,54,176,427,7.070,241,130,228
907,1,CSU,22,"Dietz, Leopold Roland",16,22,,6.749,6.749,1.545,2.210,661,340,1.316,147,62,77,78,66,79,29,139
907,1,CSU,23,"Jahn, Dr. Thomas",19,23,,6.320,6.320,130,134,123,84,173,78,70,3.444,366,161,1.255,123,179
907,1,CSU,24,"Kaufmann, Andreas",17,24,,5.860,5.860,81,77,101,100,143,90,188,209,241,134,4.235,115,146
907,1,CSU,25,"Leipold, Martina",10,25,,4.569,4.569,78,85,168,90,162,122,76,184,232,96,100,2.901,275
907,1,CSU,26,"Schneider, Oliver",18,26,,1.939,1.939,21,59,98,1.049,63,120,24,130,34,15,262,23,41
907,1,CSU,,,,,,,,,,,,,,,,,,,,
907,1,CSU,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,3.182,3.182,266,198,272,235,246,404,137,175,187,306,300,229,227
907,1,CSU,,Erststimmen insgesamt,,,,365.261,-,21.976,24.195,31.895,31.451,33.903,33.632,24.915,25.164,25.798,29.661,30.414,27.251,25.006
907,1,CSU,,Zweitstimmen insgesamt,,,,354.996,354.996,22.300,22.771,31.689,28.331,32.045,32.503,26.805,24.731,25.657,30.443,27.606,25.574,24.541
907,1,CSU,,Gesamtstimmen,,,,720.257,354.996,44.276,46.966,63.584,59.782,65.948,66.135,51.720,49.895,51.455,60.104,58.020,52.825,49.547
907,2,SPD,1,"Güller, Harald",1,1,L,24.049,16.353,2.977,7.696*,1.746,1.519,2.285,1.408,891,722,807,1.136,603,877,1.382
907,2,SPD,2,"Strohmayr, Dr. Simone",2,2,L,17.793,12.008,1.483,3.107,5.785*,994,2.983,651,419,333,386,483,299,301,569
907,2,SPD,3,"Wengert, Dr. Paul",3,3,,13.010,7.255,1.582,1.557,715,193,523,183,144,562,896,426,5.755*,273,201
907,2,SPD,4,"Heinrich, Margarete",6,4,,11.140,3.650,7.490*,1.477,539,204,521,237,84,81,95,107,59,75,171
